,region,site,date,depth_m,transect,colony_id,coral_species,col_size,l_cm,w_cm,percent_live,percent_col_inside,n_scars,percent_new,scar_min_mm2,scar_max_mm2,scar_med_mm2
1,Panamá,Casa Blanca,2013-07-08,10,1,1,Siderastrea siderea,40 to 80,53,52,100,100,88,0,NA,NA,NA
2,Panamá,Casa Blanca,2013-07-08,10,1,2,Siderastrea siderea,10 to 20,11,4.5,100,100,1,0,NA,NA,NA
3,Panamá,Casa Blanca,2013-07-08,10,1,3,Siderastrea siderea,20 to 40,24,16,80,100,12,0,NA,NA,NA
4,Panamá,Casa Blanca,2013-07-08,10,1,4,Siderastrea siderea,10 to 20,19,12,90,100,8,0,NA,NA,NA
5,Panamá,Casa Blanca,2013-07-08,10,1,5,Stephanocoenia intersepta,10 to 20,11,7,100,100,3,33,14.137,14.137,14.137
6,Panamá,Casa Blanca,2013-07-08,10,1,6,Siderastrea siderea,40 to 80,42,28,5,100,0,0,NA,NA,NA
7,Panamá,Casa Blanca,2013-07-08,10,1,7,Siderastrea siderea,10 to 20,14,11,100,100,3,0,NA,NA,NA
8,Panamá,Casa Blanca,2013-07-08,10,1,8,Siderastrea siderea,10 to 20,12,12,90,100,5,0,NA,NA,NA
9,Panamá,Casa Blanca,2013-07-08,10,1,9,Siderastrea siderea,20 to 40,22,13,100,100,19,0,NA,NA,NA
10,Panamá,Casa Blanca,2013-07-08,10,1,10,Siderastrea siderea,10 to 20,19,13,40,100,0,0,NA,NA,NA
11,Panamá,Casa Blanca,2013-07-08,10,1,11,Siderastrea siderea,10 to 20,11,10,100,100,11,0,NA,NA,NA
12,Panamá,Casa Blanca,2013-07-08,10,1,12,Siderastrea siderea,20 to 40,31,30,100,100,7,0,NA,NA,NA
13,Panamá,Casa Blanca,2013-07-08,10,1,13,Siderastrea siderea,20 to 40,24,21,100,100,12,0,NA,NA,NA
14,Panamá,Casa Blanca,2013-07-08,10,1,14,Siderastrea siderea,20 to 40,39,27,30,100,0,0,NA,NA,NA
15,Panamá,Casa Blanca,2013-07-08,5,2,15,Orbicella franksi,40 to 80,46,20,50,50,5,0,NA,NA,NA
16,Panamá,Casa Blanca,2013-07-08,5,2,16,Orbicella franksi,40 to 80,44,30,100,100,18,0,NA,NA,NA
17,Panamá,Casa Blanca,2013-07-08,5,2,17,Orbicella franksi,10 to 20,16,13,100,100,11,0,NA,NA,NA
18,Panamá,Casa Blanca,2013-07-08,5,2,18,Orbicella franksi,20 to 40,23,22,100,100,19,0,NA,NA,NA
19,Panamá,Casa Blanca,2013-07-08,5,2,19,Orbicella franksi,20 to 40,20,13,100,100,10,0,NA,NA,NA
20,Panamá,Casa Blanca,2013-07-08,5,2,20,Siderastrea siderea,40 to 80,42,41,100,100,10,0,NA,NA,NA
