region,date,site,min,species,stage,transect,n_pf,min_start,dist_m,depth_m,fl_cm
St. Croix,7/8/18,Cane Bay,0,Scarus taeniopterus,TP,1,1,2018-07-08T15:28:00Z,0,13.7,28
St. Croix,7/8/18,Cane Bay,0,Scarus taeniopterus,TP,1,1,2018-07-08T15:28:00Z,0,13.7,29
St. Croix,7/8/18,Cane Bay,1,Sparisoma viride,TP,1,1,2018-07-08T15:28:00Z,12,13.1,32
St. Croix,7/8/18,Cane Bay,2,Sparisoma viride,IP,1,1,2018-07-08T15:28:00Z,16,14,18
St. Croix,7/8/18,Cane Bay,2,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,16,14,16
St. Croix,7/8/18,Cane Bay,3,Sparisoma viride,TP,1,1,2018-07-08T15:28:00Z,22,14.6,31
St. Croix,7/8/18,Cane Bay,3,Sparisoma aurofrenatum,TP,1,1,2018-07-08T15:28:00Z,22,15.2,18
St. Croix,7/8/18,Cane Bay,4,Scarus taeniopterus,IP,1,1,2018-07-08T15:28:00Z,18,14.3,15
St. Croix,7/8/18,Cane Bay,5,Sparisoma viride,TP,1,1,2018-07-08T15:28:00Z,16,14.3,31
St. Croix,7/8/18,Cane Bay,5,Sparisoma aurofrenatum,TP,1,1,2018-07-08T15:28:00Z,16,13.4,17
St. Croix,7/8/18,Cane Bay,6,Sparisoma viride,TP,1,1,2018-07-08T15:28:00Z,15,13.4,34
St. Croix,7/8/18,Cane Bay,6,Scarus taeniopterus,IP,1,1,2018-07-08T15:28:00Z,15,13.4,16
St. Croix,7/8/18,Cane Bay,6,Scarus taeniopterus,IP,1,1,2018-07-08T15:28:00Z,15,13.4,17
St. Croix,7/8/18,Cane Bay,7,Scarus taeniopterus,TP,1,1,2018-07-08T15:28:00Z,20,16.2,26
St. Croix,7/8/18,Cane Bay,7,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,20,15.2,18
St. Croix,7/8/18,Cane Bay,8,Scarus taeniopterus,TP,1,1,2018-07-08T15:28:00Z,17,15.2,28
St. Croix,7/8/18,Cane Bay,8,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,17,15.2,16
St. Croix,7/8/18,Cane Bay,8,Scarus iseri,IP,1,1,2018-07-08T15:28:00Z,17,15.2,16
St. Croix,7/8/18,Cane Bay,9,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,17,14,16
St. Croix,7/8/18,Cane Bay,9,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,17,14,17
St. Croix,7/8/18,Cane Bay,9,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,17,14,20
St. Croix,7/8/18,Cane Bay,9,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,17,14,15
St. Croix,7/8/18,Cane Bay,9,Sparisoma aurofrenatum,TP,1,1,2018-07-08T15:28:00Z,17,14,19
St. Croix,7/8/18,Cane Bay,9,Scarus taeniopterus,TP,1,1,2018-07-08T15:28:00Z,17,14,22
St. Croix,7/8/18,Cane Bay,11,Sparisoma aurofrenatum,TP,1,1,2018-07-08T15:28:00Z,39,15.2,24
St. Croix,7/8/18,Cane Bay,11,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,39,15.2,17
St. Croix,7/8/18,Cane Bay,13,Sparisoma chrysopterum,TP,1,1,2018-07-08T15:28:00Z,42,15.8,32
St. Croix,7/8/18,Cane Bay,13,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,42,15.8,15
St. Croix,7/8/18,Cane Bay,13,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,42,15.8,17
St. Croix,7/8/18,Cane Bay,13,Sparisoma aurofrenatum,TP,1,1,2018-07-08T15:28:00Z,42,15.8,21
