region,site,coral_species,mean_percent_cover
St. Croix,BIRNM Lagoon,Agaricia spp.,0.142238688018397
St. Croix,BIRNM Lagoon,Orbicella annularis,0.136965810397104
St. Croix,BIRNM Lagoon,Porites astreoides,1.35348860740449
St. Croix,BIRNM Lagoon,Siderastrea siderea,0.0587393855083984
St. Croix,BIRNM S. Forereef,Agaricia spp.,0.340269128558814
St. Croix,BIRNM S. Forereef,Dichocoenia stokesii,0.119047619047619
St. Croix,BIRNM S. Forereef,Madracis spp.,0.0888010964648836
St. Croix,BIRNM S. Forereef,Orbicella annularis,1.2909034928198
St. Croix,BIRNM S. Forereef,Orbicella faveolata,0.517669666291714
St. Croix,BIRNM S. Forereef,Orbicella franksi,1.6109785202864
St. Croix,BIRNM S. Forereef,Porites astreoides,0.926425803074134
St. Croix,BIRNM S. Forereef,Siderastrea siderea,0.0595238095238095
St. Croix,BIRNM S. Forereef,Stephanocoenia intercepta,0.0596658711217184
St. Croix,BIRNM Scuba Cut,Agaricia spp.,1.32232188838536
St. Croix,BIRNM Scuba Cut,Orbicella annularis,0.872308620922485
St. Croix,BIRNM Scuba Cut,Orbicella franksi,4.72292191435768
St. Croix,BIRNM Scuba Cut,Porites astreoides,1.14881676812929
St. Croix,BIRNM Scuba Cut,Siderastrea siderea,1.1456605531188
St. Croix,Cane Bay,Agaricia spp.,0.390801323401828
St. Croix,Cane Bay,Madracis spp.,0.263681102595235
St. Croix,Cane Bay,Orbicella annularis,1.53254920184391
St. Croix,Cane Bay,Orbicella faveolata,1.84454830705709
St. Croix,Cane Bay,Orbicella franksi,0.932714893509571
St. Croix,Cane Bay,Porites astreoides,1.37869048890796
St. Croix,Cane Bay,Siderastrea siderea,0.326044805975763
St. Croix,Cane Bay,Stephanocoenia intercepta,0.17150700568992
St. Croix,Long Reef,Agaricia spp.,0.326344331786876
St. Croix,Long Reef,Madracis spp.,0.0834213407355353
St. Croix,Long Reef,Orbicella annularis,1.09545691878758
St. Croix,Long Reef,Orbicella faveolata,3.03300287921775
St. Croix,Long Reef,Porites astreoides,2.23018994396018
St. Croix,Long Reef,Siderastrea siderea,2.07150868454192
St. Croix,Long Reef,Stephanocoenia intercepta,0.17033481127789
St. Croix,North Star,Agaricia spp.,0.26657575176308
St. Croix,North Star,Madracis spp.,0.929454135354519
St. Croix,North Star,Orbicella annularis,2.06176870096482
St. Croix,North Star,Orbicella faveolata,0.833587264644147
St. Croix,North Star,Orbicella franksi,0.631108461539644
St. Croix,North Star,Porites astreoides,1.33561567283031
St. Croix,North Star,Siderastrea siderea,0.235305692204842
St. Croix,North Star,Stephanocoenia intercepta,0.193673337637185
St. Croix,Salt River,Agaricia spp.,0.719605127711789
St. Croix,Salt River,Madracis spp.,0.105122503487979
St. Croix,Salt River,Orbicella annularis,0.624574291112318
St. Croix,Salt River,Orbicella faveolata,0.353729776582159
St. Croix,Salt River,Orbicella franksi,1.37762990435548
St. Croix,Salt River,Porites astreoides,1.24746839086515
St. Croix,Salt River,Siderastrea siderea,0.885200257992851
