authors,title,year,journal,species,phase,pct_bites_on_coral,mode_of_observation,replicates,location,unique_identifier,notes
Deron E. Burkepile; Thomas C. Adam; Madelyn Roycroft; Mark C. Ladd; Katrina S. Munsterman & Benjamin I. Ruttenberg,Species-specific patterns in corallivory and spongivory among Caribbean parrotfishes,2019,Coral Reefs,Scarus guacamaia,IP,0.92,Focal observations,16,Florida Keys,NCEI Accession 0127525,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0127525
Deron E. Burkepile; Thomas C. Adam; Madelyn Roycroft; Mark C. Ladd; Katrina S. Munsterman & Benjamin I. Ruttenberg,Species-specific patterns in corallivory and spongivory among Caribbean parrotfishes,2019,Coral Reefs,Scarus vetula,IP,0.19,Focal observations,17,Florida Keys,NCEI Accession 0127525,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0127525
Deron E. Burkepile; Thomas C. Adam; Madelyn Roycroft; Mark C. Ladd; Katrina S. Munsterman & Benjamin I. Ruttenberg,Species-specific patterns in corallivory and spongivory among Caribbean parrotfishes,2019,Coral Reefs,Sparisoma viride,IP,0.08,Focal observations,18,Florida Keys,NCEI Accession 0127525,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0127525
Deron E. Burkepile; Thomas C. Adam; Madelyn Roycroft; Mark C. Ladd; Katrina S. Munsterman & Benjamin I. Ruttenberg,Species-specific patterns in corallivory and spongivory among Caribbean parrotfishes,2019,Coral Reefs,Scarus taeniopterus,IP,0.08,Focal observations,19,Florida Keys,NCEI Accession 0127525,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0127525
Deron E. Burkepile; Thomas C. Adam; Madelyn Roycroft; Mark C. Ladd; Katrina S. Munsterman & Benjamin I. Ruttenberg,Species-specific patterns in corallivory and spongivory among Caribbean parrotfishes,2019,Coral Reefs,Sparisoma rubripinne,IP,0.03,Focal observations,19,Florida Keys,NCEI Accession 0127525,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0127525
Deron E. Burkepile; Thomas C. Adam; Madelyn Roycroft; Mark C. Ladd; Katrina S. Munsterman & Benjamin I. Ruttenberg,Species-specific patterns in corallivory and spongivory among Caribbean parrotfishes,2019,Coral Reefs,Scarus coelestinus,IP,0.02,Focal observations,18,Florida Keys,NCEI Accession 0127525,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0127525
Deron E. Burkepile; Thomas C. Adam; Madelyn Roycroft; Mark C. Ladd; Katrina S. Munsterman & Benjamin I. Ruttenberg,Species-specific patterns in corallivory and spongivory among Caribbean parrotfishes,2019,Coral Reefs,Scarus coeruleus,IP,0,Focal observations,19,Florida Keys,NCEI Accession 0127525,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0127525
Deron E. Burkepile; Thomas C. Adam; Madelyn Roycroft; Mark C. Ladd; Katrina S. Munsterman & Benjamin I. Ruttenberg,Species-specific patterns in corallivory and spongivory among Caribbean parrotfishes,2019,Coral Reefs,Sparisoma aurofrenatum,IP,0,Focal observations,18,Florida Keys,NCEI Accession 0127525,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0127525
Deron E. Burkepile; Thomas C. Adam; Madelyn Roycroft; Mark C. Ladd; Katrina S. Munsterman & Benjamin I. Ruttenberg,Species-specific patterns in corallivory and spongivory among Caribbean parrotfishes,2019,Coral Reefs,Sparisoma chrysopterum,IP,0,Focal observations,18,Florida Keys,NCEI Accession 0127525,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0127525
Madelyn V. Roycroft,Foraging Ecology of Parrotfishes in the Greater Caribbean: Impacts of Specialization and Dietary Preferences on Marine Benthic Communities,2018,California Polytechnic State University Master's Thesis,Sparisoma viride,IP,0.98,Focal observations,20,St. Croix,NCEI Accession 0157087,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0157087
