Entry,Date,Location,Observer,Time start,Species,Fork length,Group size,Fish_ID,Minute,Substrate,Food_specific,Food_category,Bites
9068,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,1,Pavement,Turf,Turf,6
9069,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,1,Dead_coral,Turf,Turf,3
9070,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,1,Dead_coral,Turf,Turf,1
9071,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,1,Dead_coral,CCA,CCA,3
9072,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,2,Pavement,Turf,Turf,1
9073,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,2,Dead_coral,Turf,Turf,1
9074,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,2,Dead_coral,Turf,Turf,6
9075,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,2,Dead_coral,Turf,Turf,2
9076,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,2,Dead_coral,Turf,Turf,4
9077,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,3,Pavement,Turf,Turf,2
9078,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,3,Dead_coral,Turf,Turf,3
9079,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,3,Dead_coral,Turf,Turf,2
9080,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,3,Dead_coral,Turf,Turf,1
9081,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,3,Dead_coral,Turf,Turf,3
9082,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,4,Dead_coral,Turf,Turf,1
9083,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,4,Dead_coral,CCA,CCA,2
9084,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,4,Dead_coral,CCA,CCA,2
9085,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,4,Dead_coral,CCA,CCA,2
9086,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,5,Dead_coral,Turf,Turf,1
9087,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,5,Dead_coral,Turf,Turf,4
9088,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,5,Dead_coral,Turf,Turf,2
9089,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,5,Dead_coral,Turf,Turf,1
9090,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,5,Dead_coral,Turf,Turf,7
9091,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,5,Dead_coral,Turf,Turf,1
9092,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,5,Dead_coral,Turf,Turf,5
9093,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,6,Dead_coral,Turf,Turf,1
9094,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,6,Dead_coral,CCA,CCA,5
9095,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,6,Dead_coral,CCA,CCA,1
9096,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,6,Dead_coral,CCA,CCA,12
9097,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,7,Dead_coral,CCA,CCA,1
9098,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,7,Dead_coral,CCA,CCA,3
9099,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,7,Dead_coral,Turf,Turf,3
9100,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,8,Dead_coral,Turf,Turf,1
9101,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,8,Dead_coral,Turf,Turf,4
9102,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,8,Dead_coral,CCA,CCA,1
9103,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,9,Dead_coral,CCA,CCA,3
9104,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,9,Dead_coral,CCA,CCA,1
9105,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,9,Dead_coral,Turf,Turf,4
9106,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,9,Dead_coral,Turf,Turf,1
9107,2013-07-18,Carysfort,Tom Adam,15:45:00,Scarus coelestinus,40,3,Sc_coelestinus_C1,10,Pavement,Turf,Turf,4
