model,term,statistic,p_value,estimate,ci_2.5,ci_97.5
Colonies grazed,(Intercept),-0.986,0.324,-0.74,-2.21,0.73
Colonies grazed,coral_diversity,3.002,0.003,1.468,0.51,2.427
Colonies grazed,Orbicella annularis,-1.686,0.092,-0.868,-1.876,0.141
Colonies grazed,Porites astreoides,-2.556,0.011,-1.266,-2.237,-0.295
Colonies grazed,Siderastrea siderea,-3.272,0.001,-1.391,-2.224,-0.558
Colonies grazed,depth_m,0.398,0.69,0.017,-0.069,0.103
Colonies grazed,Florida,5.525,0,2.18,1.407,2.954
Colonies grazed,St. Croix,-2.819,0.005,-1.057,-1.793,-0.322
Colonies grazed,Bonaire,0.925,0.355,0.394,-0.441,1.23
Colonies grazed,Branching Porites spp.:log(proportional_cover),6.298,0,0.751,0.517,0.984
Colonies grazed,Orbicella annularis:log(proportional_cover),5.029,0,1.422,0.868,1.976
Colonies grazed,Porites astreoides:log(proportional_cover),3.953,0,0.56,0.283,0.838
Colonies grazed,Siderastrea siderea:log(proportional_cover),6.083,0,0.934,0.633,1.235
