model,term,statistic,p_value,estimate,ci_2.5,ci_97.5,estimate_backtransformed
Colony-level percent coral grazed,(Intercept),2.301,0.021,1.12,0.166,2.075,3.066
Colony-level percent coral grazed,log(col_area_cm2),-15.089,0,-0.73,-0.825,-0.635,-0.73
Colony-level percent coral grazed,Agaricia humilis,-0.766,0.444,-0.396,-1.41,0.618,0.673
Colony-level percent coral grazed,Agaricia tenuifolia,2.886,0.004,1.523,0.489,2.557,4.586
Colony-level percent coral grazed,Agaricia spp.,2.674,0.008,2.007,0.536,3.479,7.443
Colony-level percent coral grazed,Madracis auretenra,0.407,0.684,0.252,-0.963,1.468,1.287
Colony-level percent coral grazed,Madracis decactis,0.356,0.722,0.188,-0.845,1.22,1.206
Colony-level percent coral grazed,Orbicella annularis,2.005,0.045,0.832,0.019,1.645,2.298
Colony-level percent coral grazed,Orbicella faveolata,0.958,0.338,0.503,-0.525,1.53,1.653
Colony-level percent coral grazed,Branching Porites spp.,3.032,0.002,1.088,0.385,1.792,2.969
Colony-level percent coral grazed,Porites astreoides,2.04,0.041,0.762,0.03,1.493,2.142
Colony-level percent coral grazed,Siderastrea siderea,0.696,0.486,0.253,-0.459,0.965,1.288
Colony-level percent coral grazed,Stephanocoenia intersepta,1.493,0.135,1.124,-0.351,2.598,3.076
Colony-level percent coral grazed,regionFlorida,6.128,0,1.67,1.136,2.204,5.31
Colony-level percent coral grazed,regionSt. Croix,3.804,0,1.163,0.564,1.762,3.199
Colony-level percent coral grazed,regionBonaire,5.583,0,1.731,1.123,2.339,5.647
